Name,Motherboard,Memory,Processor,Number,Date
Lakshmi Mukherjee,ASUS Prime X570-Pro,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-10700K,5,2023-07-17
Radha Ramanathan,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,5,2023-07-20
Radha Krishnan,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-19
Priya Gupta,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-10700K,2,2023-07-18
Meera Patel,ASRock B550 Steel Legend,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 5800X,5,2023-07-21
Lakshmi Narayanan,GIGABYTE X570 AORUS Ultra,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-18
Ganesh Gupta,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,8,2023-07-16
Amit Malhotra,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,6,2023-07-20
Rahul Subramanian,MSI MAG B460M Mortar,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-11900K,4,2023-07-17
Sonia Chopra,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,3,2023-07-20
Sanjay Singh,MSI B450 TOMAHAWK MAX,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11600K,3,2023-07-17
Arjun Patel,ASRock B550 Steel Legend,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,6,2023-07-16
Sanjay Verma,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11400F,1,2023-07-21
Sonia Mohan,ASRock B550 Steel Legend,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-11900K,5,2023-07-18
Meera Rajaram,ASRock X570 Taichi,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11600K,6,2023-07-19
Meera Choudhury,ASUS TUF B450-PLUS Gaming,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-11700K,1,2023-07-17
Prakash Ramanathan,GIGABYTE Z490 AORUS Elite AC,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-17
Lakshmi Gupta,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,7,2023-07-18
Meera Balakrishnan,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,5,2023-07-19
Ravi Iyer,ASUS TUF B450-PLUS Gaming,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,8,2023-07-20
Karthik Rajaram,GIGABYTE B550 AORUS Elite,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,2,2023-07-17
Anjali Gupta,GIGABYTE X570 AORUS Ultra,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-16
Swathi Subramanian,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,2,2023-07-20
Priya Mohan,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-16
Suresh Mohan,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-10900K,6,2023-07-15
Rahul Venkataraman,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11400F,4,2023-07-18
Sonia Balakrishnan,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11600K,7,2023-07-16
Ravi Krishnan,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,7,2023-07-15
Deepika Subramanian,ASUS TUF B450-PLUS Gaming,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-17
Ganesh Rajaram,ASRock X570 Taichi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-20
Meera Krishnan,ASRock Z590 Extreme WiFi 6E,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-19
Ravi Ramanathan,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-16
Rahul Patel,GIGABYTE Z490 AORUS Elite AC,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-16
Rahul Gupta,GIGABYTE Z490 AORUS Elite AC,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,5,2023-07-19
Anjali Patel,GIGABYTE B550 AORUS Elite,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-21
Meera Choudhury,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-10900K,6,2023-07-19
Ravi Verma,GIGABYTE B550 AORUS Elite,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-21
Lakshmi Subramanian,ASUS TUF B450-PLUS Gaming,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-17
Anjali Gupta,GIGABYTE X570 AORUS Ultra,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i7-11700K,6,2023-07-17
Ganesh Mukherjee,ASRock X570 Taichi,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,1,2023-07-15
Vikram Venkataraman,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-21
Anjali Krishnan,GIGABYTE X570 AORUS Ultra,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-17
Ganesh Rajaram,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-18
Arjun Venkataraman,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-10900K,5,2023-07-15
Deepika Choudhury,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,7,2023-07-16
Rahul Venkataraman,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5900X,4,2023-07-15
Meera Rajaram,ASUS Prime X570-Pro,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 9 5950X,8,2023-07-21
Divya Choudhury,ASRock Z590 Extreme WiFi 6E,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-16
Ravi Mani,ASRock X570 Taichi,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 5800X,1,2023-07-17
Deepika Singh,GIGABYTE B550 AORUS Elite,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-10900K,8,2023-07-21
Sonia Narayanan,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-10900K,8,2023-07-16
Ravi Kumar,ASUS TUF B450-PLUS Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-10700K,7,2023-07-21
Prakash Mohan,ASUS TUF B450-PLUS Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11600K,2,2023-07-17
Ganesh Mukherjee,MSI MAG B460M Mortar,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 5800X,3,2023-07-15
Amit Venkataraman,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,6,2023-07-19
Prakash Subramanian,GIGABYTE X570 AORUS Ultra,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,7,2023-07-20
Amit Mukherjee,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,6,2023-07-15
Priya Mani,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,3,2023-07-15
Rahul Sharma,ASUS Prime X570-Pro,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,5,2023-07-18
Suresh Balakrishnan,ASUS TUF B450-PLUS Gaming,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-21
Amit Narayanan,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-19
Arjun Kumar,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11600K,2,2023-07-15
Prakash Mani,ASUS Prime X570-Pro,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-11700K,3,2023-07-15
Rahul Mukherjee,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,8,2023-07-16
Ganesh Krishnan,MSI MPG Z590 Gaming Carbon WiFi,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-11700K,4,2023-07-16
Deepika Ramanathan,GIGABYTE B550 AORUS Elite,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,1,2023-07-20
Amit Balakrishnan,GIGABYTE X570 AORUS Ultra,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,4,2023-07-17
Deepika Iyer,ASRock X570 Taichi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,3,2023-07-20
Karthik Gupta,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,4,2023-07-16
Sanjay Mukherjee,ASRock X570 Taichi,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-19
Divya Krishnan,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-19
Anjali Choudhury,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-15
Swathi Patel,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,1,2023-07-17
Deepika Malhotra,MSI MAG B460M Mortar,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-18
Divya Iyer,ASUS Prime X570-Pro,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11400F,2,2023-07-17
Vikram Mani,ASUS TUF B450-PLUS Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11600K,4,2023-07-17
Priya Kumar,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,6,2023-07-19
Lakshmi Choudhury,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-10700K,5,2023-07-15
Ganesh Mani,ASUS ROG Strix B550-F Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11400F,2,2023-07-16
Arjun Gupta,MSI MAG B460M Mortar,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-20
Suresh Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-15
Anjali Chopra,GIGABYTE B550 AORUS Elite,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,5,2023-07-21
Ravi Choudhury,ASUS Prime X570-Pro,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i9-10900K,6,2023-07-18
Meera Chopra,ASUS TUF B450-PLUS Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-10900K,3,2023-07-19
Prakash Subramanian,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,3,2023-07-21
Sanjay Mukherjee,ASUS ROG Strix B550-F Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,5,2023-07-15
Rahul Verma,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,4,2023-07-16
Arjun Krishnan,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-18
Ravi Iyer,GIGABYTE X570 AORUS Ultra,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,2,2023-07-20
Rahul Kumar,GIGABYTE B550 AORUS Elite,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 5800X,7,2023-07-19
Sonia Iyer,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,1,2023-07-16
Anjali Ramanathan,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,1,2023-07-15
Prakash Iyer,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 7 5800X,2,2023-07-15
Suresh Ramanathan,ASRock Z590 Extreme WiFi 6E,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-11900K,1,2023-07-15
Radha Balakrishnan,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,4,2023-07-16
Sonia Chopra,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11600K,7,2023-07-21
Nithya Mani,GIGABYTE Z490 AORUS Elite AC,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-18
Divya Iyer,GIGABYTE X570 AORUS Ultra,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,6,2023-07-19
Ganesh Choudhury,ASUS Prime X570-Pro,Crucial Ballistix 16GB (2 x 8GB),Intel Core i9-11900K,8,2023-07-18
Sonia Rajaram,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-10700K,6,2023-07-18
Lakshmi Kumar,ASRock B550 Steel Legend,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11600K,1,2023-07-15
Radha Ramanathan,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-20
Swathi Sharma,GIGABYTE Z490 AORUS Elite AC,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-15
Priya Verma,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-10700K,2,2023-07-19
Arjun Choudhury,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-16
Swathi Patel,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,3,2023-07-21
Deepika Patel,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-11700K,8,2023-07-17
Prakash Ramanathan,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,5,2023-07-17
Sanjay Kumar,ASRock B550 Steel Legend,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,4,2023-07-16
Arjun Ramanathan,ASRock X570 Taichi,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-18
Radha Rajaram,MSI B450 TOMAHAWK MAX,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-11900K,1,2023-07-18
Divya Subramanian,GIGABYTE Z490 AORUS Elite AC,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-15
Rahul Subramanian,GIGABYTE X570 AORUS Ultra,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-10900K,4,2023-07-21
Deepika Patel,ASUS Prime X570-Pro,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 7 3700X,2,2023-07-19
Arjun Verma,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,2,2023-07-17
Divya Krishnan,MSI MAG B460M Mortar,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-17
Sonia Subramanian,MSI MPG Z590 Gaming Carbon WiFi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-20
Ganesh Chopra,GIGABYTE B550 AORUS Elite,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,3,2023-07-16
Swathi Verma,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-10900K,5,2023-07-18
Vikram Krishnan,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,3,2023-07-20
Ganesh Choudhury,ASUS Prime X570-Pro,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-10700K,2,2023-07-18
Deepika Chopra,ASRock B550 Steel Legend,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-19
Sonia Singh,MSI MAG B460M Mortar,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11400F,3,2023-07-19
Amit Chopra,GIGABYTE B550 AORUS Elite,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11400F,6,2023-07-19
Amit Chopra,ASUS TUF B450-PLUS Gaming,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i9-11900K,3,2023-07-16
Sanjay Narayanan,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5950X,3,2023-07-20
Radha Mukherjee,ASUS TUF B450-PLUS Gaming,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-16
Ravi Subramanian,GIGABYTE B550 AORUS Elite,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 3700X,2,2023-07-17
Meera Malhotra,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 3700X,6,2023-07-19
Anjali Kumar,ASRock Z590 Extreme WiFi 6E,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,8,2023-07-19
Lakshmi Narayanan,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 3600X,6,2023-07-15
Nithya Mukherjee,GIGABYTE X570 AORUS Ultra,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-20
Amit Malhotra,ASRock X570 Taichi,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-10900K,4,2023-07-21
Sonia Mani,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,5,2023-07-18
Radha Choudhury,MSI B450 TOMAHAWK MAX,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-18
Nithya Mohan,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,6,2023-07-20
Swathi Choudhury,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-18
Meera Singh,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 5800X,7,2023-07-16
Prakash Patel,GIGABYTE B550 AORUS Elite,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 5800X,7,2023-07-18
Sonia Chopra,GIGABYTE X570 AORUS Ultra,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-20
Vikram Gupta,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-20
Divya Krishnan,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-10900K,6,2023-07-16
Vikram Kumar,GIGABYTE B550 AORUS Elite,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 3700X,8,2023-07-19
Swathi Kumar,ASUS ROG Strix B550-F Gaming,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 5 3600X,2,2023-07-20
Prakash Kumar,ASRock B550 Steel Legend,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,7,2023-07-15
Sanjay Mani,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5900X,6,2023-07-19
Ravi Subramanian,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-11700K,3,2023-07-20
Sonia Chopra,ASUS Prime X570-Pro,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-10900K,4,2023-07-20
Nithya Patel,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i9-11900K,2,2023-07-16
Radha Rajaram,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 3600X,5,2023-07-15
Arjun Venkataraman,GIGABYTE B550 AORUS Elite,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,3,2023-07-16
Sanjay Krishnan,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-10700K,6,2023-07-17
Amit Mani,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11600K,3,2023-07-21
Anjali Balakrishnan,ASUS TUF B450-PLUS Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,5,2023-07-17
Anjali Mani,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-17
Divya Singh,ASRock Z590 Extreme WiFi 6E,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-17
Suresh Malhotra,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,6,2023-07-18
Meera Ramanathan,ASUS Prime X570-Pro,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i9-10900K,4,2023-07-17
Ravi Venkataraman,GIGABYTE X570 AORUS Ultra,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11400F,8,2023-07-20
Nithya Iyer,ASUS TUF B450-PLUS Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-11700K,7,2023-07-17
Deepika Mani,MSI MAG B460M Mortar,Crucial Ballistix RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,8,2023-07-21
Ganesh Sharma,ASRock B550 Steel Legend,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,1,2023-07-19
Ganesh Singh,GIGABYTE Z490 AORUS Elite AC,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,8,2023-07-18
Sonia Narayanan,ASRock B550 Steel Legend,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,2,2023-07-17
Arjun Venkataraman,GIGABYTE X570 AORUS Ultra,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,5,2023-07-20
Sonia Gupta,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,5,2023-07-16
Lakshmi Balakrishnan,ASUS Prime X570-Pro,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5950X,3,2023-07-17
Prakash Mukherjee,GIGABYTE B550 AORUS Elite,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,7,2023-07-17
Radha Choudhury,ASUS Prime X570-Pro,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5900X,8,2023-07-19
Vikram Kumar,ASUS TUF B450-PLUS Gaming,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i9-10900K,7,2023-07-18
Vikram Malhotra,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-18
Meera Mohan,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11400F,7,2023-07-17
Karthik Verma,ASRock B550 Steel Legend,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-20
Anjali Krishnan,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-10900K,8,2023-07-17
Arjun Chopra,MSI MAG B460M Mortar,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,1,2023-07-20
Swathi Krishnan,GIGABYTE B550 AORUS Elite,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,2,2023-07-17
Arjun Ramanathan,ASRock X570 Taichi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-19
Deepika Mani,GIGABYTE B550 AORUS Elite,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-15
Deepika Mukherjee,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-11700K,1,2023-07-20
Deepika Krishnan,ASUS TUF B450-PLUS Gaming,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-10700K,4,2023-07-15
Arjun Subramanian,GIGABYTE Z490 AORUS Elite AC,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,8,2023-07-20
Karthik Mukherjee,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11600K,2,2023-07-17
Nithya Narayanan,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,2,2023-07-17
Rahul Balakrishnan,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,4,2023-07-17
Vikram Sharma,GIGABYTE X570 AORUS Ultra,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i9-11900K,2,2023-07-18
